Place,Address,Tags,url,Rating
The Beast,17 Jalan Klapa Singapore 199329,"Bars, Dinner With Drinks, Waffles, Good For Groups, Craft Beer, Burgers, Western, 1-For-1 Deals, Breakfast & Brunch",https://www.burpple.com/the-beast-1,3.8
Twenty Grammes (Bugis),753 North Bridge Road #01-01 Singapore 198721,"Ice Cream & Yoghurt, Cafes & Coffee, Desserts, Waffles, 1-For-1 Deals",https://www.burpple.com/twenty-grammes,3.91
Brine,775 North Bridge Road Hotel Clover Singapore 198743,"Date Night, Cafes & Coffee, Western, 1-For-1 Deals, Breakfast & Brunch",https://www.burpple.com/brine-singapore,4.01
Izakaya Hikari,190 Middle Road #03-01 Fortune Centre Singapore 188979,"Japanese, 1-For-1 Deals",https://www.burpple.com/izakaya-hikari,3.91
Steeped Tea Bar,2 Tan Quee Lan Street #01-01 Singapore 188091,"Desserts, Fruit Tea, 1-For-1 Deals",https://www.burpple.com/steeped-tea-bar,4.13
taan,30 Liang Seah Street #01-01 Singapore 189051,"Buffets, Japanese, Dinner With Drinks, Supper, Late Night, BBQ, 1-For-1 Deals",https://www.burpple.com/taan,3.86
Symmetry,9 Jalan Kubor #01-01 Singapore 199206,"Burpple Guides, Dinner With Drinks, Date Night, Cafes & Coffee, Western, Breakfast & Brunch",https://www.burpple.com/symmetry,3.57
Windowsill Pies (Haji Lane),17 Haji Lane Singapore 189210,"Desserts, Cakes, 1-For-1 Deals",https://www.burpple.com/windowsill-pies-haji-lane,4.19
Chunky Lobsters (Bugis),200 Victoria Street #B1-K10 Bugis Junction Singapore 188021,"Seafood, Hidden Gem, Cheap & Good, Good For Groups, 1-For-1 Deals",https://www.burpple.com/chunky-lobster-bugis,3.94
Mother Dough Bakery,749 North Bridge Road #01-01 Singapore 198717,"Bread, Cafes & Coffee, Desserts",https://www.burpple.com/mother-dough-bakery,4.04
Man Fu Yuan,80 Middle Road Level 2 InterContinental Singapore Singapore 188966,"Dim Sum, Buffets, Good For Groups, Chinese, 1-For-1 Deals",https://www.burpple.com/man-fu-yuan,3.19
Monarchs & Milkweed Gelato,802 North Bridge Road #01-01 Singapore 198770,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/monarchs-milkweed-gelato,4.26
Pita Bakery,29 Bali Lane Singapore 189865,"Middle Eastern, Vegetarian, Bread, 1-For-1 Deals, Halal",https://www.burpple.com/pita-bakery,3.44
Overrun,18 Baghdad Street Singapore 199657,"Ice Cream & Yoghurt, Desserts, 1-For-1 Deals, Halal",https://www.burpple.com/overrun,3.92
Wildfire Chicken & Burgers,80 Bencoolen Street #01-15 Singapore 189655,"Burgers, Western",https://www.burpple.com/wildfireburgers,4.24
The Mad Sailors,24 Haji Lane Singapore 189217,"Seafood, Pasta, Cafes & Coffee, Western, 1-For-1 Deals, Halal",https://www.burpple.com/the-mad-sailors,3.67
machi machi,25 Arab Street Singapore 199724,"Desserts, Fruit Tea, Bubble Tea",https://www.burpple.com/machi-machi-singapore,4.11
Tipo,785 North Bridge Road Singapore 198753,"Pasta, Italian, Cafes & Coffee, Halal",https://www.burpple.com/tipo,4.31
Japanese Curry Express,190 Middle Road #03-04 Fortune Centre Singapore 188979,"Sushi, Japanese, Cheap & Good",https://www.burpple.com/japanese-curry-express,3.84
Chong Qing Grilled Fish (Liang Seah),1 Liang Seah Street #01-05/06 Singapore 208829,"Supper, Good For Groups, Chinese, 1-For-1 Deals",https://www.burpple.com/chong-qing-grilled-fish,3.73
Brotherbird Coffeehouse (Bugis),32A Bali Lane Singapore 189868,"Cafes & Coffee, Desserts",https://www.burpple.com/brother-bird,3.88
Fat Bird (Bugis),1 Liang Seah Street #01-15/16 Singapore 189022,"Rainy Day Comforts, Buffets, Supper, Late Night, Chinese, 1-For-1 Deals, Steamboat",https://www.burpple.com/fat-bird,3.43
Afterwit - Mexican Taqueira,778 North Bridge Road Singapore 198746,"Mexican, Cafes & Coffee, Breakfast & Brunch, Halal",https://www.burpple.com/afterwit,3.65
Chix Hot Chick'n,1 Jalan Pisang #01-01 Singapore 199069,"Burgers, Western, Halal",https://www.burpple.com/chix-hot-chicken,3.73
belle-ville Pancake Cafe (Bugis Junction),230 Victoria Street #01-01B Bugis Junction Tower Singapore 188024,"Japanese, Cafes & Coffee, Desserts, Takeaway Available",https://www.burpple.com/belleville-sg,4.01
The Hashtag Cafe,743 North Bridge Road Singapore 198711,"Cafes & Coffee, Western, Breakfast & Brunch, Halal",https://www.burpple.com/hastag-cafe,4.65
