Place,Address,Tags,url
The Beast,17 Jalan Klapa Singapore 199329,"['Bars', 'Dinner With Drinks', 'Waffles', 'Good For Groups', 'Craft Beer', 'Burgers', 'Western', '1-For-1 Deals', 'Breakfast & Brunch']",https://www.burpple.com/the-beast-1
Twenty Grammes (Bugis),753 North Bridge Road #01-01 Singapore 198721,"['Ice Cream & Yoghurt', 'Cafes & Coffee', 'Desserts', 'Waffles', '1-For-1 Deals']",https://www.burpple.com/twenty-grammes
Brine,775 North Bridge Road Hotel Clover Singapore 198743,"['Date Night', 'Cafes & Coffee', 'Western', '1-For-1 Deals', 'Breakfast & Brunch']",https://www.burpple.com/brine-singapore
Izakaya Hikari,190 Middle Road #03-01 Fortune Centre Singapore 188979,"['Japanese', '1-For-1 Deals']",https://www.burpple.com/izakaya-hikari
Steeped Tea Bar,2 Tan Quee Lan Street #01-01 Singapore 188091,"['Desserts', 'Fruit Tea', '1-For-1 Deals']",https://www.burpple.com/steeped-tea-bar
taan,30 Liang Seah Street #01-01 Singapore 189051,"['Buffets', 'Japanese', 'Dinner With Drinks', 'Supper', 'Late Night', 'BBQ', '1-For-1 Deals']",https://www.burpple.com/taan
Symmetry,9 Jalan Kubor #01-01 Singapore 199206,"['Burpple Guides', 'Dinner With Drinks', 'Date Night', 'Cafes & Coffee', 'Western', 'Breakfast & Brunch']",https://www.burpple.com/symmetry
Windowsill Pies (Haji Lane),17 Haji Lane Singapore 189210,"['Desserts', 'Cakes', '1-For-1 Deals']",https://www.burpple.com/windowsill-pies-haji-lane
Chunky Lobsters (Bugis),200 Victoria Street #B1-K10 Bugis Junction Singapore 188021,"['Seafood', 'Hidden Gem', 'Cheap & Good', 'Good For Groups', '1-For-1 Deals']",https://www.burpple.com/chunky-lobster-bugis
Mother Dough Bakery,749 North Bridge Road #01-01 Singapore 198717,"['Bread', 'Cafes & Coffee', 'Desserts']",https://www.burpple.com/mother-dough-bakery
Man Fu Yuan,80 Middle Road Level 2 InterContinental Singapore Singapore 188966,"['Dim Sum', 'Buffets', 'Good For Groups', 'Chinese', '1-For-1 Deals']",https://www.burpple.com/man-fu-yuan
Monarchs & Milkweed Gelato,802 North Bridge Road #01-01 Singapore 198770,"['Ice Cream & Yoghurt', 'Desserts']",https://www.burpple.com/monarchs-milkweed-gelato
Pita Bakery,29 Bali Lane Singapore 189865,"['Middle Eastern', 'Vegetarian', 'Bread', '1-For-1 Deals', 'Halal']",https://www.burpple.com/pita-bakery
Overrun,18 Baghdad Street Singapore 199657,"['Ice Cream & Yoghurt', 'Desserts', '1-For-1 Deals', 'Halal']",https://www.burpple.com/overrun
Wildfire Chicken & Burgers,80 Bencoolen Street #01-15 Singapore 189655,"['Burgers', 'Western']",https://www.burpple.com/wildfireburgers
The Mad Sailors,24 Haji Lane Singapore 189217,"['Seafood', 'Pasta', 'Cafes & Coffee', 'Western', '1-For-1 Deals', 'Halal']",https://www.burpple.com/the-mad-sailors
machi machi,25 Arab Street Singapore 199724,"['Desserts', 'Fruit Tea', 'Bubble Tea']",https://www.burpple.com/machi-machi-singapore
Tipo,785 North Bridge Road Singapore 198753,"['Pasta', 'Italian', 'Cafes & Coffee', 'Halal']",https://www.burpple.com/tipo
Japanese Curry Express,190 Middle Road #03-04 Fortune Centre Singapore 188979,"['Sushi', 'Japanese', 'Cheap & Good']",https://www.burpple.com/japanese-curry-express
Chong Qing Grilled Fish (Liang Seah),1 Liang Seah Street #01-05/06 Singapore 208829,"['Supper', 'Good For Groups', 'Chinese', '1-For-1 Deals']",https://www.burpple.com/chong-qing-grilled-fish
Brotherbird Coffeehouse (Bugis),32A Bali Lane Singapore 189868,"['Cafes & Coffee', 'Desserts']",https://www.burpple.com/brother-bird
Fat Bird (Bugis),1 Liang Seah Street #01-15/16 Singapore 189022,"['Rainy Day Comforts', 'Buffets', 'Supper', 'Late Night', 'Chinese', '1-For-1 Deals', 'Steamboat']",https://www.burpple.com/fat-bird
Afterwit - Mexican Taqueira,778 North Bridge Road Singapore 198746,"['Mexican', 'Cafes & Coffee', 'Breakfast & Brunch', 'Halal']",https://www.burpple.com/afterwit
Chix Hot Chick'n,1 Jalan Pisang #01-01 Singapore 199069,"['Burgers', 'Western', 'Halal']",https://www.burpple.com/chix-hot-chicken
belle-ville Pancake Cafe (Bugis Junction),230 Victoria Street #01-01B Bugis Junction Tower Singapore 188024,"['Japanese', 'Cafes & Coffee', 'Desserts', 'Takeaway Available']",https://www.burpple.com/belleville-sg
The Hashtag Cafe,743 North Bridge Road Singapore 198711,"['Cafes & Coffee', 'Western', 'Breakfast & Brunch', 'Halal']",https://www.burpple.com/hastag-cafe
Konditori - Artisan European Bakery,33 Bussorah Street Singapore 199451,"['Bread', 'Desserts', 'Cakes', 'Halal']",https://www.burpple.com/konditori-artisan-bakery
Joo Bar,5 Tan Quee Lan Street Singapore 188094,"['Bars', 'Dinner With Drinks', 'Date Night', 'Good For Groups', 'Late Night', 'Korean', 'Takeaway Available']",https://www.burpple.com/joo-bar
Earlybird,17 Jalan Pinang Singapore 199149,"['Cafes & Coffee', 'Desserts', 'Breakfast & Brunch', 'Takeaway Available']",https://www.burpple.com/earlybird
Grill Ninety Nine,142 Arab Street Singapore 199828,"['Pasta', 'Pizza', 'Western', '1-For-1 Deals', 'Halal']",https://www.burpple.com/grill-ninety-nine
Founder Bak Kut Teh (Bugis),530 North Bridge Road #01-01 Singapore 188747,"['Rainy Day Comforts', 'Bak Kut Teh', '1-For-1 Deals', 'Hawker Food']",https://www.burpple.com/founder-bak-kut-teh-north-bridge-road
Thai-licious Boat Noodles,8 Liang Seah Street #01-01 Singapore 189029,"['Thai', '1-For-1 Deals']",https://www.burpple.com/thailiciousboatnoodles
Big Fish Small Fish (Bugis Junction),200 Victoria Street #04-05 Bugis Junction Singapore 188021,"['Western', 'Halal']",https://www.burpple.com/sgbigfishsmallfish-bugis-junction
LePak At Rayz,62 Bussorah Street Singapore 199478,"['Local Delights', 'Pasta', 'Western', 'Halal']",https://www.burpple.com/rayz-bistro
